person_id,year,name,age,age_group,gender,ethnicity,marital_status,education_level,employment_status,num_children,disability_flag,primary_language,immigration_status,housing_tenure,annual_income_bracket,socio_economic_status,household_type,overcrowding_flag,damp_and_mould,single_parent_flag,council_tax_arrears,eviction_flag,history_temp_accommodation,temp_accommodation_status,familiar_domestic_abuse_flag,social_worker_involvement,youth_justice_history,school_attendance,future_homeless,risk_score
228b7382,2023,Tanner Mitchell DDS,16,0‑17,Female,Black‑African,Married/Civil partnership,No formal,Unemployed,0,1,English,British citizen,Private rented,<£10k,High,Private,0,0,0,0,0,True,Supported housing,0,0,0,Full,0,0.12000000000000001
5329c3f1,2023,Heather Fields,39,35‑44,Female,White‑British,Single,Undergraduate,Student,0,1,English,British citizen,Owner‑occupied,£20‑30k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
ae565aa5,2023,Megan Le,22,18‑24,Female,Black‑African,Single,Vocational,Employed‑full‑time,0,0,English,British citizen,Owner‑occupied,£30‑45k,Low,Private,0,0,0,0,1,0,None,0,0,0,N/A,0,0.07
98e40963,2023,Sara Fuller,27,25‑34,Female,White‑British,Married/Civil partnership,GCSE/O‑Level,Student,1,0,English,British citizen,Owner‑occupied,£10‑20k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
a1607690,2023,Maria Parker,15,0‑17,Male,White‑Other,Married/Civil partnership,GCSE/O‑Level,Retired,0,0,English,British citizen,Private rented,£30‑45k,Medium,Private,0,0,0,0,0,0,None,0,0,0,None,0,0.07
10045362,2023,Kevin Oconnor,13,0‑17,Female,White‑British,Single,A‑Level,Retired,0,1,Mandarin,British citizen,Private rented,£30‑45k,Low,Public,1,1,0,0,0,0,None,0,0,0,None,1,0.17
dbf82ae8,2023,Edward Burgess,51,45‑54,Male,White‑British,Married/Civil partnership,No formal,Employed‑full‑time,1,0,English,British citizen,Private rented,£30‑45k,Low,Private,0,0,1,0,0,0,None,0,0,0,N/A,0,0.07
3c9851bd,2023,Carlos Ryan,40,35‑44,Male,White‑British,Single,A‑Level,Disabled‑not‑working,0,1,Arabic,British citizen,Social housing,£45‑60k,Low,Public,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
d2bb51db,2023,Kiara Mcintyre,24,18‑24,Female,White‑British,Cohabiting,Undergraduate,Employed‑full‑time,1,0,English,British citizen,Social housing,<£10k,Medium,Private,0,0,0,0,0,0,None,1,0,0,N/A,0,0.07
99b1722c,2023,Dawn Summers,39,35‑44,Male,White‑British,Single,GCSE/O‑Level,Retired,2,0,English,British citizen,Homeless/temporary,£20‑30k,Medium,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
7023dbee,2023,Dr. Paul Morgan,14,0‑17,Male,White‑British,Married/Civil partnership,Postgraduate,Employed‑part‑time,2,0,English,British citizen,Social housing,£20‑30k,Low,Public,0,0,0,0,0,0,None,1,0,0,Full,1,0.07
a70e15ef,2023,Victor Taylor,26,25‑34,Male,White‑British,Single,GCSE/O‑Level,Student,1,0,English,British citizen,Owner‑occupied,<£10k,Low,Public,0,0,0,0,0,0,None,1,0,0,N/A,0,0.07
bff7a359,2023,Shannon Ramsey,16,0‑17,Female,Black‑African,Cohabiting,GCSE/O‑Level,Student,2,0,English,Settled,Living with relatives,<£10k,Medium,Private,0,0,0,0,0,0,None,0,0,0,Partial,0,0.02
423899c8,2023,Tracy Ballard,22,18‑24,Female,White‑British,Divorced,Vocational,Employed‑full‑time,1,0,Other,Settled,Private rented,£20‑30k,Low,Private,1,0,0,0,0,True,Hostel,0,0,0,N/A,0,0.17
8e99ea54,2023,Richard Smith,33,25‑34,Male,White‑British,Divorced,No formal,Student,1,0,English,Asylum seeker,Private rented,£30‑45k,High,Private,1,0,1,0,0,0,None,0,0,0,N/A,0,0.12000000000000001
