person_id,year,name,age,age_group,gender,ethnicity,marital_status,education_level,employment_status,num_children,disability_flag,primary_language,immigration_status,housing_tenure,annual_income_bracket,socio_economic_status,household_type,overcrowding_flag,damp_and_mould,single_parent_flag,council_tax_arrears,eviction_flag,history_temp_accommodation,temp_accommodation_status,familiar_domestic_abuse_flag,social_worker_involvement,youth_justice_history,school_attendance,future_homeless,risk_score
3d9925c3,2020,Allison Hill,19,18‑24,Male,White‑British,Cohabiting,A‑Level,Student,0,0,Arabic,British citizen,Owner‑occupied,£10‑20k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
e98aeead,2020,Noah Rhodes,39,35‑44,Female,White‑British,Married/Civil partnership,GCSE/O‑Level,Employed‑full‑time,3,0,English,British citizen,Owner‑occupied,£30‑45k,Medium,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
c64e613c,2020,Angie Henderson,38,35‑44,Female,White‑British,Single,No formal,Employed‑full‑time,0,0,Arabic,British citizen,Owner‑occupied,£30‑45k,High,Private,0,1,0,0,0,True,Supported housing,0,0,0,N/A,0,0.17
2c58494e,2020,Daniel Wagner,47,45‑54,Male,White‑British,Cohabiting,A‑Level,Employed‑full‑time,0,0,English,Settled,Private rented,>£60k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
246e03d4,2020,Cristian Santos,36,35‑44,Male,White‑British,Divorced,GCSE/O‑Level,Employed‑full‑time,1,1,English,British citizen,Living with relatives,£45‑60k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
b9be0e38,2020,Connie Lawrence,30,25‑34,Male,South‑Asian,Cohabiting,No formal,Employed‑part‑time,0,0,English,British citizen,Living with relatives,£20‑30k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
363946ed,2020,Abigail Shaffer,25,25‑34,Female,Mixed,Single,GCSE/O‑Level,Employed‑part‑time,1,0,Polish,British citizen,Social housing,£20‑30k,Low,Private,0,0,1,0,0,0,None,1,0,0,N/A,0,0.12000000000000001
3f3c91ec,2020,Gina Moore,35,35‑44,Male,White‑British,Married/Civil partnership,GCSE/O‑Level,Student,0,0,English,British citizen,Owner‑occupied,>£60k,Medium,Public,0,0,0,0,0,0,None,1,0,0,N/A,0,0.07
d15b0c6e,2020,Gabrielle Davis,17,0‑17,Female,East‑Asian,Cohabiting,Vocational,Student,0,0,Urdu,British citizen,Owner‑occupied,<£10k,Medium,Private,1,1,0,0,0,0,None,0,0,0,Partial,0,0.12000000000000001
46a2e923,2020,Ryan Munoz,16,0‑17,Female,White‑British,Single,GCSE/O‑Level,Employed‑full‑time,0,0,English,Pre‑settled,Private rented,£45‑60k,Medium,Private,0,0,0,0,0,True,B&B,0,0,0,None,0,0.17
be28e13f,2020,Monica Herrera,33,25‑34,Male,Other,Cohabiting,GCSE/O‑Level,Employed‑full‑time,1,0,English,Asylum seeker,Private rented,£30‑45k,High,Private,0,0,1,0,0,0,None,0,0,0,N/A,0,0.07
55fe888c,2020,Jamie Arnold,45,45‑54,Male,South‑Asian,Cohabiting,Undergraduate,Employed‑part‑time,1,0,Polish,Settled,Social housing,£20‑30k,Medium,Private,0,0,1,0,0,0,None,0,1,0,N/A,1,0.12000000000000001
b9bf17ab,2020,Lisa Hensley,22,18‑24,Female,Black‑Caribbean,Single,A‑Level,Employed‑full‑time,0,0,English,British citizen,Social housing,>£60k,Medium,Private,0,0,0,0,0,True,Supported housing,0,0,0,N/A,0,0.12000000000000001
66d044d7,2020,Michele Williams,30,25‑34,Male,White‑British,Married/Civil partnership,A‑Level,Employed‑full‑time,2,0,English,British citizen,Owner‑occupied,£45‑60k,Low,Private,0,1,1,0,0,0,None,1,0,0,N/A,0,0.17
